Transect,Observer,Date,Start time,Temperature,Beauford wind,Sky condition,Species ,0-25,25-50 ,50+ ,Fly by,Additional notes
STNY-04,BF,06/02/2023,07:22,23,1,0,HOWR,,2,,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,HOWR,1,1,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,HOWR,,1,1,,
STNY-03,BF,06/12/2023,05:50,20,0,70,HOWR,1,2,,,
STNY-01,BF,06/02/2023,07:40,23,1,0,INBU,1,,1,,
STNY-02,BF,06/02/2023,07:00,23,1,0,INBU,,,1,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,INBU,,1,1,,
STNY-02,BF,06/12/2023,05:33,19,0,70,INBU,,,2,,
STNY-03,BF,06/02/2023,07:16,23,1,0,KILL,,,1,,
STNY-01,BF,06/02/2023,07:40,23,1,0,NOCA,,,3,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,NOCA,,,1,,
STNY-02,BF,06/12/2023,05:33,19,0,70,NOCA,,,1,,
STNY-03,BF,06/12/2023,05:50,20,0,70,NOCA,,,1,,
STNY-04,BF,06/12/2023,06:05,20,0,70,NOCA,,,1,,
STNY-02,BF,06/12/2023,05:33,19,0,70,NOWA,,1,,,
STNY-02,BF,06/02/2023,07:00,23,1,0,PIWO,,,1,,
STNY-02,BF,06/02/2023,07:00,23,1,0,RBGR,,,1,,
STNY-04,BF,06/02/2023,07:22,23,1,0,RBGR,,1,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,RBGR,1,,1,,
STNY-03,BF,06/12/2023,05:50,20,0,70,RBGR,,,1,,
STNY-01,BF,06/02/2023,07:40,23,1,0,REVI,1,1,,,
STNY-02,BF,06/02/2023,07:00,23,1,0,REVI,3,,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,REVI,2,2,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,REVI,,3,,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,REVI,1,1,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,REVI,1,1,,,
STNY-03,BF,06/12/2023,05:50,20,0,70,REVI,,1,,,
STNY-04,BF,06/12/2023,06:05,20,0,70,REVI,,1,1,,
STNY-03,BF,06/12/2023,05:50,20,0,70,RTHU,,,,1,
STNY-02,BF,06/02/2023,07:00,23,1,0,RWBL,,1,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,RWBL,2,4,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,RWBL,,2,3,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,RWBL,,3,1,1,
STNY-02,BF,06/12/2023,05:33,19,0,70,RWBL,,,2,,
STNY-03,BF,06/12/2023,05:50,20,0,70,RWBL,1,,8,1,
STNY-04,BF,06/12/2023,06:05,20,0,70,RWBL ,3,2,5,1,
STNY-01,BF,06/02/2023,07:40,23,1,0,SOSP,2,1,,,
STNY-02,BF,06/02/2023,07:00,23,1,0,SOSP,1,1,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,SOSP,1,,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,SOSP,2,,,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,SOSP,,1,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,SOSP,1,,2,,
STNY-03,BF,06/12/2023,05:50,20,0,70,SOSP,1,1,,,
STNY-04,BF,06/12/2023,06:05,20,0,70,SOSP,4,1,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,SWSP,,1,,,
STNY-03,BF,06/12/2023,05:50,20,0,70,SWSP,1,1,,,
STNY-01,BF,06/02/2023,07:40,23,1,0,TRES,,,2,,
STNY-02,BF,06/02/2023,07:00,23,1,0,TRES,,1,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,TRES,2,,,5,
STNY-04,BF,06/02/2023,07:22,23,1,0,TRES,,,,5,
STNY-02,BF,06/12/2023,05:33,19,0,70,TRES,,,,1,
STNY-03,BF,06/12/2023,05:50,20,0,70,TRES,,,,2,
STNY-04,BF,06/12/2023,06:05,20,0,70,TRES,,1,,,
STNY-02,BF,06/02/2023,07:00,23,1,0,WAVI,1,,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,WAVI,1,2,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,WAVI,,1,2,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,WAVI,,1,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,WAVI,2,,,,
STNY-03,BF,06/12/2023,05:50,20,0,70,WAVI,,1,,,
STNY-04,BF,06/12/2023,06:05,20,0,70,WAVI,,,2,,
STNY-03,BF,06/12/2023,05:50,20,0,70,WBNU,,,1,,
STNY-02,BF,06/02/2023,07:00,23,1,0,WOTH,,,1,,
STNY-01,BF,06/02/2023,07:40,23,1,0,YEWA,,1,,,
STNY-02,BF,06/02/2023,07:00,23,1,0,YEWA,1,1,,,
STNY-03,BF,06/02/2023,07:16,23,1,0,YEWA,5,,,,
STNY-04,BF,06/02/2023,07:22,23,1,0,YEWA,7,,,,
STNY-01 ,BF,06/12/2023,06:17,21,0,70,YEWA,2,,,,
STNY-02,BF,06/12/2023,05:33,19,0,70,YEWA,,1,1,,
STNY-03,BF,06/12/2023,05:50,20,0,70,YEWA,6,1,,,
STNY-04,BF,06/12/2023,06:05,20,0,70,YEWA,3,,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,WAVI,1,,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,AMRE,1,1,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,NOCA,1,1,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,YEWA,2,1,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,GRCA,1,,,,
BDL-1,ACM,5/30/2023,05:03,11,3,0,SOSP,,1,,,
